Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
436,Marc Roca,es ESP,MF,Espanyol,21,1996,34.6,1,23,9,39.1,0.67,0.26,0.04,0.11,25.9,0,0,0,1.7,1.7,0.07,-0.7,-0.7,2018-19
437,Rubén Rochina,es ESP,MF,Levante,27,1991,20,4,46,12,26.1,2.3,0.6,0.09,0.33,26.4,4,0,0,2.4,2.4,0.05,1.6,1.6,2018-19
438,Rodri,es ESP,MF,Atlético Madrid,22,1996,30.4,3,27,7,25.9,0.89,0.23,0.11,0.43,17.2,0,0,0,2.7,2.7,0.1,0.3,0.3,2018-19
439,Rodrigo,es ESP,FW,Valencia,27,1991,28.1,8,79,30,38,2.81,1.07,0.1,0.27,14.9,0,0,1,13.8,13,0.16,-5.8,-5,2018-19
440,Kévin Rodrigues,pt POR,DF,Real Sociedad,24,1994,5.4,0,2,1,50,0.37,0.19,0,0,26,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2018-19
441,Ángel Rodríguez,es ESP,FW,Getafe,31,1987,20.2,8,67,21,31.3,3.32,1.04,0.12,0.38,14.8,0,0,0,8.1,8.1,0.12,-0.1,-0.1,2018-19
442,Óscar Rodríguez Arnaiz,es ESP,MF,Leganés,20,1998,27.8,4,61,22,36.1,2.19,0.79,0.07,0.18,24,11,0,0,4,4,0.06,0,0,2018-19
443,Marko Rog,hr CRO,MF,Sevilla,23,1995,4,0,2,0,0,0.5,0,0,,28.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2018-19
444,Diego Rolán,uy URU,MFFW,Leganés,25,1993,2.4,0,2,0,0,0.84,0,0,,19.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2018-19
445,Diego Rolán,uy URU,MFFW,Alavés,25,1993,3.3,0,8,2,25,2.42,0.6,0,0,11.2,0,0,0,0.9,0.9,0.12,-0.9,-0.9,2018-19
446,Facundo Roncaglia,ar ARG,DF,Valencia,31,1987,6.7,0,3,0,0,0.45,0,0,,8.9,0,0,0,0.4,0.4,0.14,-0.4,-0.4,2018-19
447,Facundo Roncaglia,ar ARG,DF,Celta Vigo,31,1987,11.9,0,1,0,0,0.08,0,0,,15.7,0,0,0,0,0,0.03,0,0,2018-19
448,Roberto Rosales,ve VEN,DF,Espanyol,29,1988,19.4,3,19,5,26.3,0.98,0.26,0.16,0.6,23,2,0,0,1.1,1.1,0.06,1.9,1.9,2018-19
449,Waldo Rubio,es ESP,MF,Valladolid,22,1995,5.5,1,12,7,58.3,2.2,1.28,0.08,0.14,20.1,0,0,0,1,1,0.08,0,0,2018-19
450,Abel Ruiz,es ESP,FW,Barcelona,18,2000,0.2,0,1,1,100,4.09,4.09,0,0,13.4,0,0,0,0.4,0.4,0.36,-0.4,-0.4,2018-19
