Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
137,Sergi Darder,es ESP,MF,Espanyol,27,1993,34.7,3,44,17,38.6,1.27,0.49,0.07,0.18,24.1,0,0,0,3.1,3.1,0.07,-0.1,-0.1,2021-22
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27,1994,23.9,3,24,9,37.5,1,0.38,0.13,0.33,22.8,0,0,0,1.9,1.9,0.08,1.1,1.1,2021-22
139,Thomas Delaney,dk DEN,MF,Sevilla,29,1991,17.2,2,17,4,23.5,0.99,0.23,0.12,0.5,12.2,0,0,0,1.4,1.4,0.08,0.6,0.6,2021-22
140,Ousmane Dembélé,fr FRA,FW,Barcelona,24,1997,15.7,1,46,7,15.2,2.94,0.45,0.02,0.14,19.5,1,0,0,3.1,3.1,0.07,-2.1,-2.1,2021-22
141,Yusuf Demir,at AUT,FW,Barcelona,18,2003,2.1,0,1,0,0,0.47,0,0,,12.4,0,0,0,0.1,0.1,0.1,-0.1,-0.1,2021-22
142,Memphis Depay,nl NED,FW,Barcelona,27,1994,20.6,12,56,29,51.8,2.72,1.41,0.14,0.28,19.4,6,4,5,11.5,7.5,0.13,0.5,0.5,2021-22
143,Sergiño Dest,us USA,DFFW,Barcelona,20,2000,16.8,0,12,3,25,0.71,0.18,0,0,16.6,0,0,0,1.4,1.4,0.12,-1.4,-1.4,2021-22
144,Boulaye Dia,sn SEN,FW,Villarreal,24,1996,14.1,5,37,11,29.7,2.62,0.78,0.14,0.45,14.3,0,0,0,5.9,5.9,0.16,-0.9,-0.9,2021-22
145,Mouctar Diakhaby,gn GUI,DF,Valencia,24,1996,21.6,0,8,2,25,0.37,0.09,0,0,9.9,0,0,0,0.9,0.9,0.12,-0.9,-0.9,2021-22
146,Javier Díaz,es ESP,GK,Sevilla,24,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
147,Víctor Díaz,es ESP,DF,Granada,33,1988,16.7,1,13,2,15.4,0.78,0.12,0.08,0.5,22.3,0,0,0,0.8,0.8,0.06,0.2,0.2,2021-22
148,Landry Dimata,be BEL,FWMF,Espanyol,23,1997,6,0,8,0,0,1.33,0,0,,11.7,0,0,0,1.5,1.5,0.19,-1.5,-1.5,2021-22
149,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,30.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
